Unix	jday	Temperature
1164517200	330	282.441309512517
1164520800	330	282.144762320852
1164524400	330	282.201662172725
1164528000	330	282.058606475035
1164531600	330	281.903670412807
1164535200	330	281.712539719129
1164538800	330	281.552057529119
1164542400	330	281.560078361334
1164546000	330	281.642174811384
1164549600	330	281.5630012184
1164553200	330	281.352624067931
1164556800	330	281.00654306306
1164560400	330	280.675254810549
1164564000	330	280.630720647561
1164567600	330	280.925513961387
1164571200	330	281.160117234707
1164574800	330	281.710029063468
1164578400	330	282.741823335919
1164582000	330	283.40041476924
1164585600	331	283.371738612419
1164589200	331	284.447843214161
1164592800	331	284.834519408572
1164596400	331	284.867253619802
1164600000	331	284.58468063023
1164603600	331	284.123392833486
1164607200	331	283.028541580439
1164610800	331	282.368942257046
1164614400	331	281.132989360337
1164618000	331	280.580116444611
1164621600	331	280.419297403571
1164625200	331	280.126888669499
1164628800	331	280.586701670662
1164632400	331	280.657256432949
1164636000	331	281.094442276102
1164639600	331	281.388924309956
1164643200	331	281.517754046422
1164646800	331	281.56342436982
1164650400	331	282.164827426614
1164654000	331	282.384367103447
1164657600	331	282.73395408385
1164661200	331	283.097620118701
1164664800	331	283.228692750556
1164668400	331	283.479327558448
1164672000	332	283.481622427114
1164675600	332	284.008096139679
1164679200	332	284.215611720053
1164682800	332	284.223265464249
1164686400	332	284.350239339762
1164690000	332	284.516932615328
1164693600	332	284.944432338679
1164697200	332	285.180375838429
1164700800	332	285.111714242003
1164704400	332	284.924206625337
1164708000	332	284.759212869228
1164711600	332	284.628915035101
1164715200	332	284.54051180407
1164718800	332	284.567986014683
1164722400	332	284.499280699849
1164726000	332	284.231353429399
1164729600	332	284.244396331168
1164733200	332	284.401115747029
1164736800	332	284.546738341883
1164740400	332	284.97247777868
1164744000	332	285.217739059715
1164747600	332	285.284066777802
1164751200	332	285.193144702283
1164754800	332	285.139445056904
1164758400	333	285.190874067655
1164762000	333	285.339489863279
1164765600	333	285.308569425692
1164769200	333	285.311064452624
1164772800	333	285.418744054074
1164776400	333	285.555625994903
1164780000	333	285.783900692868
1164783600	333	285.819964129228
1164787200	333	285.743399843206
1164790800	333	285.771850111303
1164794400	333	285.972363204922
1164798000	333	286.2641107814
1164801600	333	287.147599076366
1164805200	333	287.65840341903
1164808800	333	287.972801854333
1164812400	333	287.540605696353
1164816000	333	286.886527311322
1164819600	333	286.287844670549
1164823200	333	285.055692596192
1164826800	333	284.447275289706
1164830400	333	283.807372154244
1164834000	333	283.303535849107
1164837600	333	283.090989604429
1164841200	333	282.950592419217
1164844800	334	282.645754844114
1164848400	334	282.791958084543
1164852000	334	282.868738297206
1164855600	334	282.871561934054
1164859200	334	282.871695223255
1164862800	334	282.756036980326
1164866400	334	282.434417977174
1164870000	334	282.399115269802
1164873600	334	282.250977022955
1164877200	334	282.093640625235
1164880800	334	281.82083132834
1164884400	334	281.600111952608
1164888000	334	281.771320234538
1164891600	334	281.731409261715
1164895200	334	281.673323607275
1164898800	334	281.500978287523
1164902400	334	281.252365086968
1164906000	334	280.944364798294
1164909600	334	281.311447135493
1164913200	334	281.608095591705
1164916800	334	282.852034949134
1164920400	334	284.34503214047
1164924000	334	285.728096186652
1164931200	335	287.009872648546
1164934800	335	287.125141880163
1164938400	335	287.110020566874
1164942000	335	287.290009593203
1164945600	335	287.140674082502
1164949200	335	286.845025001885
1164952800	335	286.306934716744
1164956400	335	285.401141681395
1164960000	335	282.024707564563
1164963600	335	281.885986219169
1164967200	335	281.707619947947
1164970800	335	281.414194807318
1164974400	335	281.046083701991
1164978000	335	280.902402885238
1164981600	335	280.654123761621
1164985200	335	280.489637378734
1164988800	335	280.544457066255
1164992400	335	280.683417935214
1164996000	335	282.239945645076
1164999600	335	283.778463719848
1165003200	335	285.647468164509
1165006800	335	286.764693709867
1165010400	335	287.452404086067
1165014000	335	287.857253304384
1165017600	336	289.040425455999
1165021200	336	287.760787726947
1165024800	336	287.679992286889
1165028400	336	287.352947486793
1165032000	336	286.965255442662
1165035600	336	286.431092246825
1165039200	336	285.465786244004
1165042800	336	284.773080045928
1165046400	336	283.124507871891
1165050000	336	282.591749670459
1165053600	336	282.366028552955
1165057200	336	282.44214208601
1165060800	336	282.07581166771
1165064400	336	281.490816455221
1165068000	336	280.819152302209
1165071600	336	280.758283732402
1165075200	336	280.929240427808
1165078800	336	281.116617648063
1165082400	336	282.932384919395
1165086000	336	284.257267735946
1165089600	336	285.366795417482
1165093200	336	285.24108785324
1165096800	336	285.39392813182
1165100400	336	285.425287762458
1165104000	337	284.300867230857
1165107600	337	284.853088298121
1165111200	337	286.195678802379
1165114800	337	287.294034357369
1165118400	337	286.984468967898
1165122000	337	286.581257802331
1165125600	337	285.854056470728
1165129200	337	285.472224933444
1165132800	337	284.226969857758
1165136400	337	284.450630148777
1165140000	337	284.541200092247
1165143600	337	284.587056021062
1165147200	337	284.564125376087
1165150800	337	284.62876735712
1165154400	337	284.684304037006
1165158000	337	284.801048580037
1165161600	337	284.683714813328
1165165200	337	284.433841662292
1165168800	337	283.851044601345
1165172400	337	284.15950855403
1165176000	337	284.809889295092
1165179600	337	285.535553083412
1165183200	337	286.713947970891
1165186800	337	287.621497561767
1165190400	338	287.770517521089
1165194000	338	287.899935389251
1165197600	338	287.835905924592
1165201200	338	287.497583953957
1165204800	338	286.825952077833
1165208400	338	286.054688948051
1165212000	338	285.200316815313
1165215600	338	284.634109953484
1165219200	338	283.724002396739
1165222800	338	283.490900963378
1165226400	338	283.758952888711
1165230000	338	284.112308957262
1165233600	338	284.659808300763
1165237200	338	284.723949350696
1165240800	338	284.566141214162
1165244400	338	284.656610876093
1165248000	338	284.227745319994
1165251600	338	283.471832962365
1165255200	338	284.828512124738
1165258800	338	285.926116374584
1165262400	338	287.151839725541
1165266000	338	287.902150095997
1165269600	338	288.502586159083
1165273200	338	288.804453129693
1165276800	339	288.801700855611
1165280400	339	289.120793216421
1165284000	339	289.380954112414
1165287600	339	289.238384466948
1165291200	339	289.128950158576
1165294800	339	288.813880540033
1165298400	339	288.246821714384
1165302000	339	287.666290673526
1165305600	339	285.06955233628
1165309200	339	284.609722949156
1165312800	339	284.469541788051
1165316400	339	284.42063076199
1165320000	339	283.767294308381
1165323600	339	283.564012626726
1165327200	339	283.213205302473
1165330800	339	282.817638627302
1165334400	339	282.365134249972
1165338000	339	281.867453323558
1165341600	339	282.077234854688
1165345200	339	282.761084642362
1165348800	339	284.855481423062
1165352400	339	288.523012788275
1165356000	339	289.293764650463
1165359600	339	289.290469101847
1165363200	340	289.432585362472
1165366800	340	289.611389939245
1165370400	340	289.386744224483
1165374000	340	289.158292429112
1165377600	340	288.618839696706
1165381200	340	287.920711433633
1165384800	340	286.699319413762
1165388400	340	285.651639032906
1165392000	340	283.912879557733
1165395600	340	283.081321382793
1165399200	340	282.819324006111
1165402800	340	282.519136976292
1165406400	340	282.648066910287
1165410000	340	282.374272288103
1165413600	340	280.921064446964
1165417200	340	280.538436990344
1165420800	340	281.046990249854
1165424400	340	281.579525819857
1165428000	340	283.038457820866
1165431600	340	284.046402020596
1165435200	340	285.169222484178
1165438800	340	285.735099335117
1165442400	340	286.34649189065
1165446000	340	286.811194166562
1165449600	341	287.396317842183
1165453200	341	287.944117679472
1165456800	341	288.217368991323
1165460400	341	288.106595240179
1165464000	341	286.857466457347
1165467600	341	285.828043062845
1165471200	341	284.74368064879
1165474800	341	284.829451773251
1165478400	341	285.101504208957
1165482000	341	285.409645895229
1165485600	341	285.672006802619
1165489200	341	285.88428442007
1165492800	341	285.930471949514
1165496400	341	286.079203395862
1165500000	341	286.044085874415
1165503600	341	285.887266603975
1165507200	341	285.430744273832
1165510800	341	284.852405502797
1165514400	341	284.246015640469
1165518000	341	283.94552494727
1165521600	341	283.939783801309
1165525200	341	283.998290729227
1165528800	341	284.005306064159
1165532400	341	283.88241197508
1165536000	342	283.082888824307
1165539600	342	282.916888494952
1165543200	342	283.029913414237
1165546800	342	283.205297526266
1165550400	342	283.492803148229
1165554000	342	283.666466655843
1165557600	342	283.288309637675
1165561200	342	283.229440145546
1165564800	342	282.928237254309
1165568400	342	282.401314906113
1165572000	342	281.722468956744
1165575600	342	281.68645721716
1165579200	342	281.98612885796
1165582800	342	282.010423649367
1165586400	342	281.865973132288
1165590000	342	281.536849562985
1165593600	342	280.959946609979
1165597200	342	280.535852474326
1165600800	342	281.451395487212
1165604400	342	282.464807184201
1165608000	342	283.468164849355
1165611600	342	284.419325329362
1165615200	342	285.623181799041
1165618800	342	286.693049425545
1165622400	343	288.219596708762
1165626000	343	288.357979676251
1165629600	343	288.465776512813
1165633200	343	288.402548684542
1165636800	343	288.137412361584
1165640400	343	287.70219622775
1165644000	343	287.648292416537
1165647600	343	286.483928014682
1165651200	343	284.693099897474
1165654800	343	283.568593067641
1165658400	343	282.679126573919
1165662000	343	281.814378300825
1165665600	343	281.550711581536
1165669200	343	280.838385559043
1165672800	343	280.292111357373
1165676400	343	279.742017498917
1165680000	343	279.140896520676
1165683600	343	278.648875508655
1165687200	343	279.764583635553
1165690800	343	280.886174193533
1165694400	343	283.82584966567
1165698000	343	285.553339801416
1165701600	343	286.295395116764
1165705200	343	286.959329021225
1165708800	344	287.679359849
1165712400	344	287.610019423317
1165716000	344	287.828237209527
1165719600	344	287.861118622402
1165723200	344	287.494467333182
1165726800	344	286.922630994944
1165730400	344	284.992671062282
1165734000	344	284.332975072942
1165737600	344	282.869699908138
1165741200	344	282.071489702722
1165744800	344	281.902993138989
1165748400	344	281.71167705852
1165752000	344	281.773591962246
1165755600	344	281.691575858828
1165759200	344	282.73409251467
1165762800	344	283.284929362819
1165766400	344	283.024267843411
1165770000	344	282.330415423324
1165773600	344	283.348492115664
1165777200	344	284.453164521318
1165780800	344	286.164674263877
1165784400	344	287.80049910097
1165788000	344	288.800146895423
1165791600	344	289.707737536339
1165795200	345	289.44587577175
1165798800	345	289.30543553971
1165802400	345	289.074377664091
1165806000	345	288.598250260596
1165809600	345	287.990235885847
1165813200	345	287.301903243642
1165816800	345	285.819058424793
1165820400	345	284.915376257425
1165824000	345	283.203432421821
1165827600	345	282.817663020175
1165831200	345	282.505434153381
1165834800	345	282.077532954585
1165838400	345	281.708292893907
1165842000	345	281.623717448731
1165845600	345	280.26876168432
1165849200	345	280.197380484735
1165852800	345	280.725362856343
1165856400	345	280.832287740663
1165860000	345	282.065235416694
1165863600	345	283.313108816426
1165867200	345	284.772110746334
1165870800	345	285.98241928344
1165874400	345	287.077327454179
1165878000	345	287.987841208978
1165881600	346	288.46883669129
1165885200	346	289.380767026318
1165888800	346	289.293133715128
1165892400	346	288.888126839625
1165896000	346	288.078228509239
1165899600	346	287.378482144415
1165903200	346	286.794989495118
1165906800	346	286.387914548028
1165910400	346	286.366827653197
1165914000	346	286.536288787616
1165917600	346	286.318139095296
1165921200	346	285.911658153757
1165924800	346	284.953337354714
1165928400	346	284.140228813391
1165932000	346	283.557610500552
1165935600	346	283.097841803633
1165939200	346	282.992440985109
1165942800	346	282.710246105555
1165946400	346	282.74978475894
1165950000	346	283.609632415089
1165953600	346	284.694139393136
1165957200	346	285.309758175367
1165960800	346	285.783762849876
1165964400	346	286.118400536331
1165968000	347	286.237124078109
1165971600	347	286.32957906892
1165975200	347	286.494671286317
1165978800	347	286.356089901348
1165982400	347	284.925599483219
1165986000	347	284.418451268366
1165989600	347	283.491018891943
1165993200	347	283.468250594634
1165996800	347	283.584011643806
1166000400	347	283.815305095676
